No,Nama Obyek Wisata,Jenis Obyek Wisata,Lokasi
1,Perayaan Padusan,Event Tradisional,Kec. Tulung
2,Perayaan Maleman,Event Tradisional,Kec. Klaten Utara
3,Perayaan Syawalan,Event Tradisional,Kec. Bayat
4,Perayaan Yaqowiyu,Event Tradisional,Kec. Jatinom
5,Deles Indah,Wisata Alam,Kec. Kemalang
6,Sumber Air Ingas ( OMAC),Wisata Alam,Kec. Tulung
7,Makam Pandanaran,Wisata Sejarah dan Religi,Kec. Bayat
8,Jombor Permai,Wisata Alam,Kec. Bayat
9,Makam R.Ng Ronggowarsito,Wisata Sejarah dan Religi,Kec. Trucuk
10,Makam Ki Ageng Perwito,Wisata Sejarah dan Religi,Kec. Wonosari
11,Pemandian Jolotundo,Wisata Alam,Kec. Karanganom
12,Candi Plaosan,Wisata Sejarah dan Religi,Kec. Prambanan
13,Makam Ki Agen Gribig,Wisata Sejarah dan Religi,Kec. Jatinom
14,Sendang Sinongko,Wisata Alam,Kec. Ceper
15,Umbul Ponggok,Wisata Air dan Snarkling,Kec. Polanharjo
16,Umbul Pelem,Wisata Air,Kec. Tulung
17,Umbul Manten,Wisata Air,Kec. Polanharjo
18,Desa Wisata Nganjat,Wisata Air dan Perikanan Nila,Kec. Polanharjo
19,Desa Wisata Janti,Pemancingan,Kec. Polanharjo
20,Desa Wisata Kebon Dalem Kidul,Wisata Budaya dan Industri,Kec. Prambanan
21,Desa Wisata Soran-Duwet,Wisata Budaya dan Outbond,Kec. Ngawen
22,Desa Wisata Jarum,Wisata Budaya dan Kerajinan Batik,Kec. Bayat
23,Desa Wisata Krakitan,Wisata Religi dan Alam,Kec. Bayat
24,Desa Wisata Demak Ijo,Wisata Budaya dan Kerajinan,Kec. Karangnongko
25,Desa Wisata Mlese dan Tlising,Industri Lurik,Kec. Cawas
26,Talang River,Wisata Alam,Kec. Kemalang
